Date,Open,High,Low,Close,Volume
2018-01-02,2474.86,2481.02,2465.94,2479.65,262205
2018-01-03,2484.63,2493.4,2481.91,2486.35,331094
2018-01-04,2502.5,2502.5,2466.45,2466.46,333836
2018-01-05,2476.85,2497.52,2475.51,2497.52,308769
2018-01-08,2510.7,2515.37,2494.18,2513.28,311429
2018-01-09,2510.73,2524.73,2498.41,2510.23,374322
2018-01-10,2516.33,2516.82,2493.98,2499.75,444022
2018-01-11,2496.86,2502.52,2483.82,2487.91,444340
2018-01-12,2499.87,2500.87,2482.15,2496.42,438775
2018-01-15,2510.97,2513.3,2496.18,2503.73,404550
2018-01-16,2504.16,2524.55,2498.55,2521.74,341606
2018-01-17,2517.19,2521.97,2506.49,2515.43,336712
2018-01-18,2527.67,2532.08,2512.69,2515.81,333112
2018-01-19,2519.67,2524.33,2513.09,2520.26,351845
2018-01-22,2516.9,2517.12,2488.44,2502.11,342994
2018-01-23,2510.35,2536.6,2507.96,2536.6,370007
2018-01-24,2533.86,2547.22,2531.31,2538,371087
2018-01-25,2536.96,2564.43,2536.73,2562.23,514605
2018-01-26,2560.69,2574.76,2553.53,2574.76,400648
2018-01-29,2588.87,2607.1,2587.55,2598.19,437474
2018-01-30,2590.41,2599.17,2567.07,2567.74,397038
2018-01-31,2557.37,2597.14,2553.01,2566.46,403051
2018-02-01,2578.91,2583.74,2564.59,2568.54,595147
2018-02-02,2565.99,2565.99,2519.6,2525.39,481817
2018-02-05,2487.34,2503.99,2476.24,2491.75,442349
2018-02-06,2437.02,2460.28,2409.38,2453.31,582836
2018-02-07,2483.72,2484.18,2396.56,2396.56,460075
2018-02-08,2400.17,2423.88,2393.46,2407.62,362415
2018-02-09,2346.73,2372.9,2346.73,2363.77,489112
2018-02-12,2380.49,2397.9,2367.31,2385.38,352288
2018-02-13,2402.89,2421.8,2388.54,2395.19,423415
2018-02-14,2412.47,2426.63,2408.02,2421.83,305739
2018-02-19,2452.52,2455.12,2428.15,2442.82,322137
