Date,Hour,Count,Count_B2,Temp_B2,Hum_B2,Weekday
2017-12-01,0,254,237,-5,37,Fri
2017-12-01,1,204,250,-5.1,36,Fri
2017-12-01,2,173,254,-5.2,37,Fri
2017-12-01,3,107,204,-5.5,38,Fri
2017-12-01,4,78,173,-6,39,Fri
2017-12-01,5,100,107,-6.2,40,Fri
2017-12-01,6,181,78,-6,36,Fri
2017-12-01,7,460,100,-6.4,37,Fri
2017-12-01,8,930,181,-6.6,35,Fri
2017-12-01,9,490,460,-7.4,38,Fri
2017-12-01,10,339,930,-7.6,37,Fri
2017-12-01,11,360,490,-6.5,27,Fri
2017-12-01,12,449,339,-3.5,24,Fri
2017-12-01,13,451,360,-0.5,21,Fri
2017-12-01,14,447,449,1.7,23,Fri
2017-12-01,15,463,451,2.4,25,Fri
2017-12-01,16,484,447,3,26,Fri
2017-12-01,17,555,463,2.1,36,Fri
2017-12-01,18,862,484,1.2,54,Fri
2017-12-01,19,600,555,0.8,58,Fri
2017-12-01,20,426,862,0.6,66,Fri
2017-12-01,21,405,600,0,77,Fri
2017-12-01,22,398,426,-0.3,79,Fri
2017-12-01,23,323,405,-0.8,81,Fri
2017-12-02,0,328,398,-0.9,83,Sat
2017-12-02,1,308,323,-1.3,84,Sat
2017-12-02,2,262,328,-1.8,87,Sat
2017-12-02,3,167,308,-2.2,86,Sat
2017-12-02,4,89,262,-2.9,86,Sat
2017-12-02,5,79,167,-3.5,81,Sat
2017-12-02,6,70,89,-3.8,79,Sat
2017-12-02,7,146,79,-4,79,Sat
2017-12-02,8,219,70,-4.3,82,Sat
2017-12-02,9,328,146,-4.4,81,Sat
2017-12-02,10,334,219,-4.2,79,Sat
2017-12-02,11,388,328,-2.9,68,Sat
2017-12-02,12,479,334,-0.4,57,Sat
2017-12-02,13,606,388,1.9,49,Sat
2017-12-02,14,611,479,4.3,41,Sat
2017-12-02,15,589,606,6,36,Sat
2017-12-02,16,618,611,7.3,35,Sat
2017-12-02,17,572,589,7.6,41,Sat
2017-12-02,18,489,618,6.4,48,Sat
2017-12-02,19,385,572,6,51,Sat
2017-12-02,20,359,489,5.5,53,Sat
2017-12-02,21,377,385,5,52,Sat
2017-12-02,22,354,359,4.6,51,Sat
2017-12-02,23,366,377,4.1,55,Sat
2017-12-03,0,342,354,3.5,54,Sun
2017-12-03,1,227,366,4,56,Sun
2017-12-03,2,228,342,4,58,Sun
2017-12-03,3,117,227,3.9,69,Sun
2017-12-03,4,76,228,3.3,79,Sun
2017-12-03,5,32,117,3.4,71,Sun
2017-12-03,6,13,76,3.5,73,Sun
2017-12-03,7,22,32,3.9,75,Sun
2017-12-03,8,85,13,3.4,86,Sun
2017-12-03,9,152,22,3.1,91,Sun
2017-12-03,10,200,85,3.2,92,Sun
2017-12-03,11,273,152,3.5,91,Sun
2017-12-03,12,333,200,4.4,89,Sun
2017-12-03,13,495,273,5.1,87,Sun
2017-12-03,14,563,333,5.8,85,Sun
2017-12-03,15,621,495,6.8,81,Sun
2017-12-03,16,598,563,7.6,76,Sun
2017-12-03,17,545,621,8,73,Sun
2017-12-03,18,443,598,7.6,77,Sun
2017-12-03,19,422,545,6.7,82,Sun
2017-12-03,20,397,443,6,84,Sun
2017-12-03,21,385,422,5.7,85,Sun
2017-12-03,22,350,397,5.2,87,Sun
2017-12-03,23,303,385,4.7,87,Sun
2017-12-04,0,285,350,4.3,89,Mon
2017-12-04,1,186,303,3.9,90,Mon
2017-12-04,2,112,285,4.2,88,Mon
2017-12-04,3,65,186,4.3,87,Mon
2017-12-04,4,41,112,4.4,87,Mon
2017-12-04,5,82,65,3.6,85,Mon
2017-12-04,6,200,41,2.8,89,Mon
2017-12-04,7,498,82,2,83,Mon
2017-12-04,8,937,200,1.2,76,Mon
2017-12-04,9,509,498,0.2,68,Mon
2017-12-04,10,311,937,-0.8,69,Mon
2017-12-04,11,379,509,-1.5,47,Mon
2017-12-04,12,393,311,-1.1,40,Mon
2017-12-04,13,391,379,-0.5,41,Mon
2017-12-04,14,338,393,-0.3,38,Mon
2017-12-04,15,341,391,0,30,Mon
2017-12-04,16,375,338,0.1,27,Mon
2017-12-04,17,515,341,-0.1,25,Mon
2017-12-04,18,807,375,-0.2,23,Mon
2017-12-04,19,568,515,-1.3,26,Mon
2017-12-04,20,398,807,-2.1,29,Mon
2017-12-04,21,397,568,-2.9,32,Mon
2017-12-04,22,353,398,-3.6,38,Mon
2017-12-04,23,248,397,-4.6,43,Mon
2017-12-05,0,216,353,-5.3,45,Tue
2017-12-05,1,198,248,-5.8,44,Tue
2017-12-05,2,124,216,-6.1,42,Tue
2017-12-05,3,62,198,-6.5,41,Tue
2017-12-05,4,42,124,-6.8,41,Tue
2017-12-05,5,82,62,-6.9,39,Tue
2017-12-05,6,172,42,-7.2,34,Tue
2017-12-05,7,381,82,-7.4,33,Tue
2017-12-05,8,812,172,-7.4,34,Tue
2017-12-05,9,462,381,-7.5,33,Tue
2017-12-05,10,269,812,-8.1,36,Tue
2017-12-05,11,334,462,-7.6,31,Tue
2017-12-05,12,321,269,-5.5,26,Tue
2017-12-05,13,325,334,-3.9,25,Tue
2017-12-05,14,334,321,-2.3,25,Tue
2017-12-05,15,353,325,-1.6,27,Tue
2017-12-05,16,435,334,-1.1,28,Tue
2017-12-05,17,529,353,-0.7,28,Tue
2017-12-05,18,789,435,-0.5,30,Tue
2017-12-05,19,597,529,-1.6,35,Tue
2017-12-05,20,418,789,-2.6,40,Tue
2017-12-05,21,415,597,-3.2,45,Tue
2017-12-05,22,393,418,-3.5,46,Tue
2017-12-05,23,244,415,-3.7,47,Tue
2017-12-06,0,145,393,-2.8,49,Wed
2017-12-06,1,144,244,-2.5,59,Wed
2017-12-06,2,117,145,-2.8,77,Wed
2017-12-06,3,78,144,-3,79,Wed
2017-12-06,4,58,117,-3,79,Wed
2017-12-06,5,87,78,-3.2,78,Wed
2017-12-06,6,142,58,-3.4,75,Wed
2017-12-06,7,379,87,-3.6,76,Wed
2017-12-06,8,802,142,-3.7,76,Wed
2017-12-06,9,440,379,-4.2,77,Wed
2017-12-06,10,307,802,-4.2,78,Wed
2017-12-06,11,381,440,-3.3,70,Wed
2017-12-06,12,405,307,-0.9,64,Wed
2017-12-06,13,442,381,1.6,57,Wed
2017-12-06,14,416,405,2.4,52,Wed
2017-12-06,15,412,442,4.2,47,Wed
2017-12-06,16,496,416,5.5,34,Wed
2017-12-06,17,239,412,5.5,31,Wed
2017-12-06,18,204,496,5.3,37,Wed
2017-12-06,19,205,239,4.1,60,Wed
2017-12-06,20,190,204,1.7,90,Wed
2017-12-06,21,165,205,1.2,92,Wed
2017-12-06,22,222,190,1.2,94,Wed
2017-12-06,23,193,165,1.1,92,Wed
2017-12-07,0,198,222,1.3,92,Thu
2017-12-07,1,218,193,1.3,92,Thu
2017-12-07,2,149,198,1.4,92,Thu
2017-12-07,3,102,218,1.5,92,Thu
2017-12-07,4,62,149,1.4,92,Thu
2017-12-07,5,83,102,1.9,91,Thu
2017-12-07,6,137,62,1.6,92,Thu
2017-12-07,7,367,83,1.5,92,Thu
2017-12-07,8,754,137,1,93,Thu
2017-12-07,9,415,367,0.3,93,Thu
2017-12-07,10,321,754,-0.2,96,Thu
2017-12-07,11,333,415,0.1,91,Thu
2017-12-07,12,431,321,1.1,83,Thu
2017-12-07,13,394,333,2.3,69,Thu
2017-12-07,14,390,431,3.7,65,Thu
2017-12-07,15,430,394,4.1,37,Thu
2017-12-07,16,471,390,4.4,36,Thu
2017-12-07,17,552,430,4,35,Thu
2017-12-07,18,795,471,3.2,38,Thu
2017-12-07,19,507,552,2.1,50,Thu
2017-12-07,20,390,795,0.7,46,Thu
2017-12-07,21,402,507,-0.4,47,Thu
2017-12-07,22,389,390,-1.4,47,Thu
2017-12-07,23,259,402,-2.2,46,Thu
2017-12-08,0,233,389,-2.7,48,Fri
2017-12-08,1,230,259,-3.2,50,Fri
2017-12-08,2,131,233,-3.5,49,Fri
2017-12-08,3,99,230,-3.7,50,Fri
2017-12-08,4,71,131,-4.3,53,Fri
2017-12-08,5,84,99,-4.8,52,Fri
2017-12-08,6,158,71,-5.3,53,Fri
2017-12-08,7,387,84,-5.8,56,Fri
2017-12-08,8,780,158,-6,56,Fri
2017-12-08,9,395,387,-6.5,57,Fri
2017-12-08,10,261,780,-7,59,Fri
2017-12-08,11,310,395,-6.7,50,Fri
2017-12-08,12,355,261,-5.3,44,Fri
2017-12-08,13,354,310,-3.7,39,Fri
2017-12-08,14,350,355,-2,30,Fri
2017-12-08,15,362,354,-1.7,28,Fri
2017-12-08,16,401,350,-1.3,27,Fri
2017-12-08,17,500,362,-0.8,26,Fri
2017-12-08,18,752,401,-1.1,24,Fri
2017-12-08,19,477,500,-2.4,30,Fri
2017-12-08,20,384,752,-3.1,33,Fri
2017-12-08,21,336,477,-3.3,35,Fri
2017-12-08,22,347,384,-3.3,34,Fri
2017-12-08,23,275,336,-3.3,35,Fri
2017-12-09,0,267,347,-3.4,39,Sat
2017-12-09,1,296,275,-3.5,43,Sat
2017-12-09,2,237,267,-3.5,48,Sat
2017-12-09,3,169,296,-4.1,49,Sat
2017-12-09,4,96,237,-4.7,50,Sat
2017-12-09,5,56,169,-4.3,47,Sat
2017-12-09,6,76,96,-4.3,49,Sat
2017-12-09,7,127,56,-4.7,49,Sat
2017-12-09,8,222,76,-5.1,53,Sat
2017-12-09,9,291,127,-5.5,56,Sat
2017-12-09,10,273,222,-5.4,56,Sat
2017-12-09,11,351,291,-4.7,48,Sat
2017-12-09,12,427,273,-2.2,42,Sat
2017-12-09,13,431,351,0,45,Sat
2017-12-09,14,486,427,2.4,40,Sat
2017-12-09,15,569,431,3.9,36,Sat
2017-12-09,16,546,486,4.7,32,Sat
2017-12-09,17,481,569,5.2,30,Sat
2017-12-09,18,384,546,4.4,33,Sat
2017-12-09,19,275,481,3.5,37,Sat
2017-12-09,20,298,384,2.5,41,Sat
2017-12-09,21,321,275,1.5,48,Sat
2017-12-09,22,289,298,0.8,51,Sat
2017-12-09,23,265,321,-0.1,55,Sat
2017-12-10,0,326,289,-0.5,55,Sun
2017-12-10,1,280,265,-0.1,54,Sun
2017-12-10,2,243,326,-0.2,55,Sun
2017-12-10,3,169,280,-0.2,54,Sun
2017-12-10,4,71,243,0.2,52,Sun
2017-12-10,5,13,169,0.3,53,Sun
2017-12-10,6,9,71,0.4,52,Sun
2017-12-10,7,20,13,0.3,74,Sun
2017-12-10,8,35,9,-0.5,90,Sun
2017-12-10,9,31,20,-0.4,92,Sun
2017-12-10,10,19,35,-0.2,90,Sun
2017-12-10,11,58,31,0.2,90,Sun
2017-12-10,12,119,19,0.5,91,Sun
2017-12-10,13,182,58,0.9,92,Sun
2017-12-10,14,235,119,2.3,88,Sun
2017-12-10,15,180,182,3.3,87,Sun
2017-12-10,16,214,235,4.2,85,Sun
2017-12-10,17,226,180,6.7,63,Sun
2017-12-10,18,210,214,5.4,71,Sun
2017-12-10,19,181,226,3.6,65,Sun
2017-12-10,20,165,210,2,61,Sun
2017-12-10,21,167,181,1.6,53,Sun
2017-12-10,22,152,165,0.6,57,Sun
2017-12-10,23,148,167,0,59,Sun
2017-12-11,0,125,152,-1,56,Mon
2017-12-11,1,111,148,-1.4,43,Mon
2017-12-11,2,67,125,-2.5,39,Mon
2017-12-11,3,45,111,-3.4,36,Mon
2017-12-11,4,44,67,-4.2,35,Mon
2017-12-11,5,86,45,-4.7,38,Mon
2017-12-11,6,136,44,-5.2,35,Mon
2017-12-11,7,325,86,-5.6,38,Mon
2017-12-11,8,653,136,-5.9,39,Mon
2017-12-11,9,326,325,-6,39,Mon
2017-12-11,10,212,653,-6,38,Mon
2017-12-11,11,226,326,-5.9,36,Mon
2017-12-11,12,247,212,-5.3,32,Mon
2017-12-11,13,241,226,-4.7,36,Mon
2017-12-11,14,253,247,-5.2,33,Mon
2017-12-11,15,269,241,-5.4,32,Mon
2017-12-11,16,277,253,-5.4,31,Mon
2017-12-11,17,361,269,-5.5,33,Mon
2017-12-11,18,557,277,-6,40,Mon
2017-12-11,19,371,361,-7.1,44,Mon
2017-12-11,20,254,557,-7.9,43,Mon
2017-12-11,21,266,371,-8.6,45,Mon
2017-12-11,22,222,254,-9.3,49,Mon
2017-12-11,23,174,266,-9.7,51,Mon
